產品編號,品牌,種類,產品名稱,產品系列,簡稱
PD000000101,R&R,Hot & Cold Pad,R&R #SP-7201 Cold/Hot Pack (28 x 11 cm),冷熱敷,R&R #SP-7201 Cold/Hot Pack (28 x 11 cm)
PD000000102,R&R,Hot & Cold Pad,R&R #SP-7203 Cold/Hot Pack (32.5 x 18 cm),冷熱敷,R&R #SP-7203 Cold/Hot Pack (32.5 x 18 cm)
PD000000103,R&R,Hot & Cold Pad,R&R #SP-7206L Soft ColdHot Soothing Mask,冷熱敷,R&R #SP-7206L Soft ColdHot Soothing Mask
PD000000104,Verta,Cushion,Verta-Fit Air Back Cushion,Verta-Fit Air Back Cushion,Verta-Fit Air Back Cushion
PD000000105,Bort,Elbow,"Bort #1420 Elbow Support Lido ""S""",Bort #1420 Elbow Support Lido,"Bort #1420 Elbow Support Lido ""S"""
PD000000106,Bort,Elbow,"Bort #1420 Elbow Support Lido ""M""",Bort #1420 Elbow Support Lido,"Bort #1420 Elbow Support Lido ""M"""
PD000000107,Bort,Elbow,"Bort #1420 Elbow Support Lido ""L""",Bort #1420 Elbow Support Lido,"Bort #1420 Elbow Support Lido ""L"""
PD000000108,Bort,Knee,"Bort #1440 Knee Support Lido ""S""",Bort #1440 Knee Support Lido,"Bort #1440 Knee Support Lido ""S"""
PD000000109,Bort,Knee,"Bort #1440 Knee Support Lido ""M""",Bort #1440 Knee Support Lido,"Bort #1440 Knee Support Lido ""M"""
PD000000110,Bort,Knee,"Bort #1440 Knee Support Lido ""L""",Bort #1440 Knee Support Lido,"Bort #1440 Knee Support Lido ""L"""
PD000000111,Bort,Knee,"Bort #1440 Knee Support Lido ""XL""",Bort #1440 Knee Support Lido,"Bort #1440 Knee Support Lido ""XL"""
PD000000112,Bort,Ankle,"Bort #1450 Ankle Support Lido ""S""",Bort #1450 Ankle Support Lido,"Bort #1450 Ankle Support Lido ""S"""
PD000000113,Bort,Ankle,"Bort #1450 Ankle Support Lido ""M""",Bort #1450 Ankle Support Lido,"Bort #1450 Ankle Support Lido ""M"""
PD000000114,Bort,Ankle,"Bort #1450 Ankle Support Lido ""L""",Bort #1450 Ankle Support Lido,"Bort #1450 Ankle Support Lido ""L"""
PD000000115,Bort,Ankle,"Bort #1450 Ankle Support Lido ""XL""",Bort #1450 Ankle Support Lido,"Bort #1450 Ankle Support Lido ""XL"""
PD000000116,Bort,Tennis Elbow,"Bort #1480 Tennis Elbow Support ""M""",Bort #1480 Tennis Elbow Support,"Bort #1480 Tennis Elbow Support ""M"""
PD000000117,Bort,Tennis Elbow,"Bort #1480 Tennis Elbow Support ""L""",Bort #1480 Tennis Elbow Support,"Bort #1480 Tennis Elbow Support ""L"""
PD000000118,Bort,Pedi-soft,Bort #107010 Toe Spreader,Bort #107010 Toe Spreader,Bort #107010 Toe Spreader
PD000000119,Bort,Pedi-soft,Bort #107020 Toe Separator,Bort #107020 Toe Separator,Bort #107020 Toe Separator
PD000000120,Bort,Pedi-soft,Bort #107030 Bunion Shield,Bort #107030 Bunion Shield,Bort #107030 Bunion Shield
PD000000121,Bort,Pedi-soft,Bort #107040 Silicone Plaster,Bort #107040 Silicone Plaster,Bort #107040 Silicone Plaster
PD000000122,Bort,Pedi-soft,Bort #107050 Circular Plaster,Bort #107050 Circular Plaster,Bort #107050 Circular Plaster
PD000000123,Bort,Pedi-soft,Bort #107080 Forefoot Cushion,Bort #107080 Forefoot Cushion,Bort #107080 Forefoot Cushion
PD000000124,Bort,Wrist,"Bort #112010 Stabilo Wrist Bandage Lido "" 1 """,Bort #112010 Stabilo Wrist Bandage Lido,"Bort #112010 Stabilo Wrist Bandage Lido "" 1 """
PD000000125,Bort,Wrist,"Bort #112010 Stabilo Wrist Bandage Lido "" 2 """,Bort #112010 Stabilo Wrist Bandage Lido,"Bort #112010 Stabilo Wrist Bandage Lido "" 2 """
PD000000126,Bort,Wrist,"Bort #112010 Stabilo Wrist Bandage Lido "" 3 """,Bort #112010 Stabilo Wrist Bandage Lido,"Bort #112010 Stabilo Wrist Bandage Lido "" 3 """
PD000000127,Bort,Wrist,"Bort #112010 Stabilo Wrist Bandage Blue "" 1 """,Bort #112010 Stabilo Wrist Bandage Blue,"Bort #112010 Stabilo Wrist Bandage Blue "" 1 """
PD000000128,Bort,Wrist,"Bort #112010 Stabilo Wrist Bandage Blue "" 2 """,Bort #112010 Stabilo Wrist Bandage Blue,"Bort #112010 Stabilo Wrist Bandage Blue "" 2 """
PD000000129,Bort,Wrist,"Bort #112010 Stabilo Wrist Bandage Blue "" 3 """,Bort #112010 Stabilo Wrist Bandage Blue,"Bort #112010 Stabilo Wrist Bandage Blue "" 3 """
PD000000130,Bort,Wrist,"Bort #112010 Stabilo Wrist Bandage Red "" 1 """,Bort #112010 Stabilo Wrist Bandage Red,"Bort #112010 Stabilo Wrist Bandage Red "" 1 """
PD000000131,Bort,Wrist,"Bort #112010 Stabilo Wrist Bandage Red "" 2 """,Bort #112010 Stabilo Wrist Bandage Red,"Bort #112010 Stabilo Wrist Bandage Red "" 2 """
PD000000132,Bort,Wrist,"Bort #112010 Stabilo Wrist Bandage Red "" 3 """,Bort #112010 Stabilo Wrist Bandage Red,"Bort #112010 Stabilo Wrist Bandage Red "" 3 """
PD000000133,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(L)""XS""",Bort #112120 Wrist Support w/ Thumb opening(L),"Bort #112120 Wrist Support w/ Thumb opening(L)""XS"""
PD000000134,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(L)""S""",Bort #112120 Wrist Support w/ Thumb opening(L),"Bort #112120 Wrist Support w/ Thumb opening(L)""S"""
PD000000135,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(L)""M""",Bort #112120 Wrist Support w/ Thumb opening(L),"Bort #112120 Wrist Support w/ Thumb opening(L)""M"""
PD000000136,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(L)""L""",Bort #112120 Wrist Support w/ Thumb opening(L),"Bort #112120 Wrist Support w/ Thumb opening(L)""L"""
PD000000137,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(L)""XL""",Bort #112120 Wrist Support w/ Thumb opening(L),"Bort #112120 Wrist Support w/ Thumb opening(L)""XL"""
PD000000138,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(R)""XS""",Bort #112120 Wrist Support,"Bort #112120 Wrist Support w/ Thumb opening(R)""XS"""
PD000000139,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(R)""S""",Bort #112120 Wrist Support,"Bort #112120 Wrist Support w/ Thumb opening(R)""S"""
PD000000140,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(R)""M""",Bort #112120 Wrist Support,"Bort #112120 Wrist Support w/ Thumb opening(R)""M"""
PD000000141,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(R)""L""",Bort #112120 Wrist Support,"Bort #112120 Wrist Support w/ Thumb opening(R)""L"""
PD000000142,Bort,Wrist,"Bort #112120 Wrist Support w/ Thumb opening(R)""XL""",Bort #112120 Wrist Support,"Bort #112120 Wrist Support w/ Thumb opening(R)""XL"""
PD000000143,Bort,Wrist,"Bort #112220 ManuZip Volar (L) ""M""",Bort #112220 ManuZip Volar (L),"Bort #112220 ManuZip Volar (L) ""M"""
PD000000144,Bort,Wrist,"Bort #112320 ManuZip Dorsal ""M""",Bort #112320 ManuZip Dorsal,"Bort #112320 ManuZip Dorsal ""M"""
PD000000145,Bort,Wrist,"Bort #133330 Finger Joint Support ""M""",Bort #133330 Finger Joint Support ,"Bort #133330 Finger Joint Support ""M"""
PD000000146,Bort,Wrist,"Bort #103200 ManuCarpal-Orthosis ""M""",Bort #103200 ManuCarpal-Orthosis,"Bort #103200 ManuCarpal-Orthosis ""M"""
PD000000147,Bort,Body,Bort #104600 Support for Upright Position,Bort #104600 Support for Upright Position,Bort #104600 Support for Upright Position
PD000000148,Bort,Body,"Bort #112650 Vario Back Support ""S""",Bort #112650 Vario Back Support,"Bort #112650 Vario Back Support ""S"""
PD000000149,Bort,Body,"Bort #112650 Vario Back Support ""M""",Bort #112650 Vario Back Support,"Bort #112650 Vario Back Support ""M"""
PD000000150,Bort,Body,"Bort #112650 Vario Back Support ""L""",Bort #112650 Vario Back Support,"Bort #112650 Vario Back Support ""L"""
PD000000151,Bort,Body,"Bort #112650 Vario Back Support ""XL""",Bort #112650 Vario Back Support,"Bort #112650 Vario Back Support ""XL"""
PD000000152,Bort,Knee,"Bort #114410 Stabilo Knee Brace without Stays ""S""",Bort #114410 Stabilo Knee Brace without Stays,"Bort #114410 Stabilo Knee Brace without Stays ""S"""
